Employee_ID;Employee_Name;Salary;Position;State;Date_Of_Birth;Gender;Marital_Status;Hiring_Date;Termination_Date;Employment_Status;Department;Recruitment_Source;Performance_Score;Engagement_Survey;Employee_Satisfaction
1;"John Smith";62506;"Production Technician I";Massachusetts;07/10/83;M;Single;2011-07-05;NULL;Active;Production;LinkedIn;Exceeds;4.6;5
2;"Sarah Johnson";104437;"Sr. DBA";Massachusetts;05/05/75;M;Married;2015-03-30;2016-06-16;"Voluntarily Terminated";IT/IS;Indeed;"Fully Meets";4.96;3
3;"Michael Williams";64955;"Production Technician II";Massachusetts;09/19/88;F;Married;2011-07-05;2012-09-24;"Voluntarily Terminated";Production;LinkedIn;"Fully Meets";3.02;3
4;"Emily Brown";64991;"Production Technician I";Massachusetts;09/27/88;F;Married;2008-01-07;NULL;Active;Production;Indeed;"Fully Meets";4.84;5
5;"David Jones";50825;"Production Technician I";Massachusetts;09/08/89;F;Divorced;2011-07-11;2016-09-06;"Voluntarily Terminated";Production;"Google Search";"Fully Meets";5;4
6;"Jessica Davis";57568;"Production Technician I";Massachusetts;05/22/77;F;Single;2012-01-09;NULL;Active;Production;LinkedIn;Exceeds;5;5
7;"Christopher Miller";95660;"Software Engineer";Massachusetts;05/24/79;F;Single;2014-11-10;NULL;Active;Engineering;LinkedIn;"Fully Meets";3.04;3
8;"Ashley Wilson";59365;"Production Technician I";Massachusetts;02/18/83;M;Widowed;2013-09-30;NULL;Active;Production;"Employee Referral";"Fully Meets";5;4
9;"Matthew Anderson";47837;"Production Technician I";Massachusetts;02/11/70;F;Single;2009-07-06;NULL;Active;Production;"Diversity Job Fair";"Fully Meets";4.46;3
10;"Samantha Taylor";50178;"IT Support";Massachusetts;01/07/88;M;Divorced;2015-01-05;NULL;Active;IT/IS;Indeed;"Fully Meets";5;5
11;"Daniel Martinez";54670;"Production Technician I";Massachusetts;01/12/74;F;Married;2011-01-10;2017-01-12;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.2;4
12;"Lauren Thomas";47211;"Production Technician I";Massachusetts;02/21/74;M;Married;2012-04-02;2016-09-19;"Voluntarily Terminated";Production;"Diversity Job Fair";"Fully Meets";4.2;3
13;"Andrew Jackson";92328;"Data Analyst";Texas;07/04/88;M;Divorced;2014-11-10;NULL;Active;IT/IS;"Diversity Job Fair";Exceeds;4.28;4
14;"Elizabeth Thompson";58709;"Production Technician I";Massachusetts;07/20/83;M;Single;2012-02-20;NULL;Active;Production;"Google Search";"Fully Meets";4.6;4
15;"Ryan Lee";52505;"Production Technician I";Massachusetts;07/15/77;M;Divorced;2012-09-24;2017-04-06;"Voluntarily Terminated";Production;"On-line Web application";"Fully Meets";5;5
16;"Olivia Davis";57834;"Production Technician I";Massachusetts;10/18/81;M;Single;2011-02-21;2017-08-04;"Terminated for Cause";Production;"Google Search";"Fully Meets";5;4
17;"James Taylor";70131;"Production Technician II";Massachusetts;04/17/66;F;Married;2016-07-21;NULL;Active;Production;"Employee Referral";Exceeds;4.4;3
18;"Amanda White";59026;"Production Technician I";Massachusetts;10/27/70;F;Single;2011-04-04;NULL;Active;Production;"Google Search";"Fully Meets";5;5
19;"Joshua Anderson";110000;"Database Administrator";Massachusetts;04/04/86;F;Single;2014-07-07;2015-09-12;"Terminated for Cause";IT/IS;"Google Search";"Fully Meets";4.5;4
20;"Stephanie Martinez";53250;"Production Technician I";Massachusetts;04/06/79;M;Single;2013-07-08;NULL;Active;Production;LinkedIn;"Fully Meets";4.2;4
21;"Robert Davis";51044;"Production Technician I";Massachusetts;12/22/70;M;Single;2012-04-02;NULL;Active;Production;"Google Search";"Fully Meets";5;3
22;"Megan Thompson";64919;"Production Technician I";Massachusetts;12/27/58;F;Divorced;2013-08-19;NULL;Active;Production;Indeed;"Fully Meets";4.2;3
23;"William Johnson";62910;"Production Technician I";Massachusetts;09/01/89;F;Married;2014-07-07;NULL;Active;Production;Indeed;Exceeds;5;3
